"service","type","title","year","genre_primary","genre_secondary","critic_score","audience_score","average_score"
"Amazon Prime","TV Show","Better Call Saul",2015,"Drama","Drama",".98",".95","0.96"
"Amazon Prime","TV Show","The Boys",2019,"Drama","Drama",".93",".85","0.89"
"Amazon Prime","TV Show","The Chosen",2019,"Drama","Drama","1",".99","1"
"Amazon Prime","TV Show","Breaking Bad",2008,"Crime","Crime",".96",".97","0.96"
"Amazon Prime","TV Show","The Old Man",2022,"Mystery thriller","Mystery thriller",".95",".78","0.86"
"Amazon Prime","TV Show","Westworld",2016,"Drama","Drama",".81",".75","0.78"
"Amazon Prime","TV Show","Dark Winds",2022,"Mystery thriller","Mystery thriller","1",".84","0.92"
"Amazon Prime","TV Show","The Orville",2017,"Comedy","Comedy",".77",".87","0.82"
"Amazon Prime","TV Show","Game of Thrones",2011,"Drama","Drama",".89",".85","0.87"
"Amazon Prime","TV Show","P-Valley",2020,"Drama","Drama",".95",".88","0.92"
"Amazon Prime","TV Show","Paper Girls",2022,"Sci fi","Sci fi",".90",".83","0.86"
"Amazon Prime","TV Show","Yellowjackets",2021,"Drama","Drama","1",".77","0.88"
"Amazon Prime","TV Show","Yellowstone",2018,"Drama","Drama",".83",".84","0.84"
"Amazon Prime","TV Show","Fleabag",2016,"Comedy","Comedy","1",".93","0.97"
"Amazon Prime","TV Show","What We Do in the Shadows",2019,"Comedy","Comedy",".98",".90","0.94"
"Amazon Prime","TV Show","Outer Range",2022,"Drama","Drama",".81",".65","0.73"
"Amazon Prime","TV Show","The Last Kingdom",2015,"History","History",".91",".94","0.92"
"Amazon Prime","TV Show","Night Sky",2022,"Sci fi","Sci fi",".74",".82","0.78"
"Amazon Prime","TV Show","Barry",2018,"Comedy","Comedy",".99",".90","0.94"
"Amazon Prime","TV Show","Evil",2019,"Drama","Drama",".95",".83","0.89"
"Amazon Prime","TV Show","Reacher",2022,"Drama","Drama",".92",".91","0.92"
"Amazon Prime","TV Show","Succession",2018,"Drama","Drama",".94",".85","0.9"
"Amazon Prime","TV Show","Harley Quinn",2019,"Fantasy","Fantasy",".96",".90","0.93"
"Amazon Prime","TV Show","The Walking Dead",2010,"Drama","Drama",".80",".78","0.79"
"Amazon Prime","TV Show","The Summer I Turned Pretty",2022,"Drama","Drama",".91",".80","0.86"
"Amazon Prime","TV Show","Euphoria",2019,"Drama","Drama",".88",".85","0.86"
"Amazon Prime","TV Show","Marvel's Daredevil",2015,"Drama","Drama",".92",".89","0.9"
"Amazon Prime","TV Show","Counterpart",2017,"Drama","Drama","1",".90","0.95"
"Amazon Prime","TV Show","The Expanse",2015,"Drama","Drama",".94",".92","0.93"
"Amazon Prime","TV Show","The White Lotus",2021,"Comedy","Comedy",".89",".77","0.83"
"Amazon Prime","TV Show","Banshee",2013,"Mystery thriller","Mystery thriller",".90",".90","0.9"
"Amazon Prime","TV Show","Mr. Robot",2015,"Drama","Drama",".94",".93","0.94"
"Amazon Prime","TV Show","Resident Alien",2021,"Sci fi","Sci fi",".94",".74","0.84"
"Amazon Prime","TV Show","Legion",2017,"Adventure","Adventure",".91",".86","0.88"
"Amazon Prime","TV Show","Lucifer",2016,"Crime","Crime",".88",".73","0.8"
"Amazon Prime","TV Show","The Sopranos",1999,"Crime","Crime",".92",".97","0.94"
"Amazon Prime","TV Show","The Staircase",2022,"Crime","Crime",".93",".67","0.8"
"Amazon Prime","TV Show","The Wire",2002,"Crime","Crime",".94",".97","0.96"
"Amazon Prime","TV Show","Suits",2011,"Drama","Drama",".90",".87","0.88"
"Amazon Prime","TV Show","The Wheel of Time",2021,"Fantasy","Fantasy",".81",".62","0.72"
"Amazon Prime","TV Show","The Blacklist",2013,"Crime","Crime",".91",".80","0.86"
"Amazon Prime","TV Show","The Flight Attendant",2020,"Comedy","Comedy",".91",".60","0.76"
"Amazon Prime","TV Show","Peacemaker",2022,"Comedy","Comedy",".94",".89","0.92"
"Amazon Prime","TV Show","Vikings",2013,"History","History",".93",".87","0.9"
"Amazon Prime","TV Show","Pretty Little Liars",2010,"Drama","Drama",".81",".81","0.81"
"Amazon Prime","TV Show","The Office",2005,"Comedy","Comedy",".81",".89","0.85"
"Amazon Prime","TV Show","Fargo",2014,"Crime","Crime",".93",".84","0.88"
"Amazon Prime","TV Show","Rick and Morty",2013,"Action","Action",".94",".87","0.9"
"Amazon Prime","TV Show","Better Things",2016,"Comedy","Comedy",".98",".83","0.9"
"Amazon Prime","TV Show","We Own This City",2022,"Crime","Crime",".93",".75","0.84"
"Amazon Prime","TV Show","The Flash",2014,"Drama","Drama",".89",".63","0.76"
"Amazon Prime","TV Show","Marvel's The Punisher",2017,"Drama","Drama",".64",".77","0.7"
"Amazon Prime","TV Show","Avatar: The Last Airbender",2005,"Kids family","Kids family","1",".98","0.99"
"Amazon Prime","TV Show","True Detective",2014,"Crime","Crime",".78",".74","0.76"
"Amazon Prime","TV Show","American Horror Story",2011,"Horror","Horror",".77",".70","0.74"
"Amazon Prime","TV Show","The Handmaid's Tale",2017,"Drama","Drama",".83",".77","0.8"
"Amazon Prime","TV Show","Shameless",2010,"Comedy","Comedy",".82",".81","0.82"
"Amazon Prime","TV Show","You",2018,"Drama","Drama",".91",".76","0.84"
"Amazon Prime","TV Show","Cobra Kai",2018,"Comedy","Comedy",".93",".92","0.92"
"Amazon Prime","TV Show","Taboo",2017,"Crime","Crime",".76",".92","0.84"
"Amazon Prime","TV Show","Nathan for You",2013,"Comedy","Comedy",".97",".95","0.96"
"Amazon Prime","TV Show","The Leftovers",2014,"Drama","Drama",".91",".90","0.9"
"Amazon Prime","TV Show","Outlander",2014,"Drama","Drama",".89",".86","0.88"
"Amazon Prime","TV Show","Bosch",2014,"Drama","Drama",".97",".93","0.95"
"Amazon Prime","TV Show","Attack on Titan",2013,"Adventure","Adventure",".96",".95","0.96"
"Amazon Prime","TV Show","The Man in the High Castle",2015,"History","History",".84",".81","0.82"
"Amazon Prime","TV Show","The 100",2014,"Drama","Drama",".93",".66","0.8"
"Amazon Prime","TV Show","The Fall",2013,"Crime","Crime",".84",".86","0.85"
"Amazon Prime","TV Show","Doom Patrol",2019,"Drama","Drama",".97",".75","0.86"
"Amazon Prime","TV Show","The Americans",2013,"Crime","Crime",".96",".93","0.94"
"Amazon Prime","TV Show","Kevin Can F**k Himself",2021,"Comedy","Comedy",".82",".72","0.77"
"Amazon Prime","TV Show","Pennyworth",2019,"Drama","Drama",".66",".85","0.76"
"Amazon Prime","TV Show","Undone",2019,"Comedy","Comedy",".97",".91","0.94"
"Amazon Prime","TV Show","The Wilds",2020,"Drama","Drama",".88",".83","0.86"
"Amazon Prime","TV Show","Black Mirror",2011,"Sci fi","Sci fi",".84",".83","0.84"
"Amazon Prime","TV Show","Catastrophe",2015,"Comedy","Comedy",".98",".91","0.94"
"Amazon Prime","TV Show","American Gods",2017,"Drama","Drama",".77",".70","0.74"
"Amazon Prime","TV Show","The Vampire Diaries",2009,"Drama","Drama",".86",".70","0.78"
"Amazon Prime","TV Show","This Is Going to Hurt",2022,"Comedy","Comedy",".95",".96","0.96"
"Amazon Prime","TV Show","Brooklyn Nine-Nine",2013,"Comedy","Comedy",".95",".88","0.92"
"Amazon Prime","TV Show","Supernatural",2005,"Drama","Drama",".93",".75","0.84"
"Amazon Prime","TV Show","Lost",2004,"Drama","Drama",".85",".91","0.88"
"Amazon Prime","TV Show","This Is Us",2016,"Drama","Drama",".94",".78","0.86"
"Amazon Prime","TV Show","The Haunting of Hill House",2018,"Drama","Drama",".93",".91","0.92"
"Amazon Prime","TV Show","Titans",2018,"Drama","Drama",".86",".67","0.76"
"Amazon Prime","TV Show","Atlanta",2016,"Comedy","Comedy",".97",".83","0.9"
"Amazon Prime","TV Show","Invincible",2021,"Action","Action",".98",".92","0.95"
"Amazon Prime","TV Show","Adventure Time",2010,"Kids family","Kids family","1",".93","0.97"
"Amazon Prime","TV Show","Killing Eve",2018,"Action","Action",".89",".73","0.81"
"Amazon Prime","TV Show","Tom Clancy's Jack Ryan",2018,"Mystery thriller","Mystery thriller",".71",".73","0.72"
"Amazon Prime","TV Show","Good Omens",2019,"Fantasy","Fantasy",".84",".90","0.87"
"Amazon Prime","TV Show","The Sinner",2017,"Crime","Crime",".89",".73","0.81"
"Amazon Prime","TV Show","The Big Bang Theory",2007,"Comedy","Comedy",".81",".83","0.82"
"Amazon Prime","TV Show","Community",2009,"Comedy","Comedy",".88",".88","0.88"
"Amazon Prime","TV Show","Friends",1994,"Comedy","Comedy",".79",".93","0.86"
"Amazon Prime","TV Show","Justified",2010,"Crime","Crime",".97",".95","0.96"
"Amazon Prime","TV Show","Sneaky Pete",2015,"Drama","Drama",".96",".90","0.93"
"Amazon Prime","TV Show","The Good Place",2016,"Comedy","Comedy",".97",".89","0.93"
"Amazon Prime","TV Show","The Legend of Vox Machina",2022,"Fantasy","Fantasy","1",".93","0.97"
"Amazon Prime","TV Show","Gravity Falls",2012,"Kids family","Kids family","1",".96","0.98"
"Amazon Prime","TV Show","Mad Men",2007,"Drama","Drama",".94",".96","0.95"
"Amazon Prime","TV Show","Prison Break",2005,"Drama","Drama",".61",".78","0.7"
"Amazon Prime","TV Show","A Very English Scandal",2018,"Crime","Crime",".97",".80","0.88"
"Amazon Prime","TV Show","Modern Family",2009,"Comedy","Comedy",".85",".89","0.87"
"Amazon Prime","TV Show","Patriot",2015,"Drama","Drama",".91",".84","0.88"
"Amazon Prime","TV Show","Raised by Wolves",2020,"Sci fi","Sci fi",".80",".80","0.8"
"Amazon Prime","TV Show","The Split",2018,"Drama","Drama",".76",".90","0.83"
"Amazon Prime","TV Show","House of Cards",2013,"Drama","Drama",".77",".76","0.76"
"Amazon Prime","TV Show","The Marvelous Mrs. Maisel",2017,"Comedy","Comedy",".89",".83","0.86"
"Amazon Prime","TV Show","Upload",2020,"Comedy","Comedy",".94",".81","0.88"
"Amazon Prime","TV Show","Hannibal",2013,"Crime","Crime",".92",".94","0.93"
"Amazon Prime","TV Show","Jurassic World: Camp Cretaceous",2020,"Kids family","Kids family",".92",".77","0.84"
